Brand,Category,Trustpilot_Score,Restocking_Fee,Return_Window,Fit_Complexity_Score,SOVEREIGN_RISK_SCORE
Avocado,Mattress,3.2,True,60,0.4,48
Lovesac,Furniture,4.8,False,60,0.4,34
Article,Furniture,3.9,False,365,0.4,42
Wayfair,Furniture,3.2,True,30,0.4,43
Joybird,Furniture,4.6,False,14,0.4,36
Simmons,Mattress,3.6,True,14,0.4,36
Steve Madden,Footwear,4.8,False,30,0.9,54
Under Armour,Footwear,4.0,True,60,0.9,51
Hanky Panky,Lingerie,3.9,True,30,0.9,57
Saatva,Mattress,3.8,False,365,0.4,44
New Balance,Footwear,3.6,False,30,0.9,72
Purple,Mattress,4.3,False,30,0.4,40
Burrow,Furniture,4.2,True,60,0.4,28
Nectar,Mattress,4.3,True,365,0.4,31
Casper,Mattress,3.4,True,14,0.4,40
Joe's Jeans,Jeans,3.8,False,365,0.9,68
Ashley,Furniture,3.7,True,365,0.4,40
Dr. Martens,Footwear,4.1,True,30,0.9,53
Intimissimi,Lingerie,2.5,False,30,0.9,83
Lucky Brand,Jeans,2.4,True,365,0.9,80
Layla,Mattress,3.5,False,60,0.4,53
Timberland,Footwear,3.7,False,365,0.9,69
On Running,Footwear,3.3,False,30,0.9,75
Leesa,Mattress,3.2,True,365,0.4,48
Citizens of Humanity,Jeans,2.2,False,14,0.9,93
Rag & Bone,Jeans,3.7,True,30,0.9,60
Outer,Furniture,3.4,True,30,0.4,40
Awara,Mattress,3.4,True,60,0.4,44
Helix,Mattress,4.7,True,60,0.4,25
Sealy,Mattress,2.7,True,365,0.4,55
Serta,Mattress,3.3,True,365,0.4,47
Floyd,Furniture,3.9,False,365,0.4,42
Birch,Mattress,4.6,True,14,0.4,22
Bear,Mattress,3.1,False,14,0.4,59
Crate & Barrel,Furniture,3.0,True,365,0.4,50
IKEA,Furniture,4.3,True,30,0.4,31
Inside Weather,Furniture,2.6,False,30,0.4,66
CB2,Furniture,3.2,True,365,0.4,42
Serena & Lily,Furniture,2.7,True,30,0.4,50
Tuft & Needle,Mattress,3.8,False,365,0.4,48
Tempur-Pedic,Mattress,3.4,False,14,0.4,50
Pottery Barn,Furniture,4.1,False,14,0.4,39
Sleep Number,Mattress,2.9,False,30,0.4,62
Ethan Allen,Furniture,3.9,False,60,0.4,47
Eight Sleep,Mattress,3.7,False,60,0.4,45
Amerisleep,Mattress,3.7,True,14,0.4,40
Restoration Hardware,Furniture,4.1,False,14,0.4,39
Lululemon,Activewear,4.0,False,30,0.4,46
Pull&Bear,Fast Fashion,2.9,True,365,0.4,52
Vitamin A,Swimwear,3.8,False,30,0.4,43
Fabletics,Activewear,3.1,False,365,0.4,54
Billabong,Swimwear,3.1,False,14,0.4,58
Cult Gaia,Dresses,2.5,True,14,0.4,53
Nap Dress,Dresses,4.7,False,365,0.4,35
Rip Curl,Swimwear,4.0,False,365,0.4,45
Carbon38,Activewear,4.7,False,30,0.4,36
Tom Ford,Eyewear,3.8,True,30,0.4,39
Blenders,Eyewear,2.8,False,14,0.4,63
Maui Jim,Eyewear,4.7,False,14,0.4,35
Farm Rio,Dresses,4.2,False,30,0.4,38
Spiritual Gangster,Activewear,4.0,True,365,0.4,36
Gymshark,Activewear,4.0,True,30,0.4,31
Alo Yoga,Activewear,3.0,False,365,0.4,61
For Love & Lemons,Dresses,4.1,False,30,0.4,45
Athleta,Activewear,3.5,True,14,0.4,38
O'Neill,Swimwear,3.0,True,60,0.4,51
Ray-Ban,Eyewear,3.6,True,14,0.4,36
PrettyLittleThing,Fast Fashion,2.6,False,365,0.4,67
Bershka,Fast Fashion,3.3,False,365,0.4,51
Bandier,Activewear,4.3,True,30,0.4,32
Olivers,Activewear,3.8,True,60,0.4,39
Marysia,Swimwear,2.7,False,365,0.4,65
Hunza G,Swimwear,2.6,False,365,0.4,61
L Space,Swimwear,4.6,False,30,0.4,36
Triangl,Swimwear,3.2,True,14,0.4,48
Primark,Fast Fashion,3.2,False,365,0.4,53
Revolve,Fast Fashion,4.6,True,30,0.4,21
Nobull,Activewear,3.6,False,14,0.4,51
Speedo,Swimwear,3.5,False,60,0.4,53
Urban Outfitters,Fast Fashion,4.7,False,30,0.4,30
Uniqlo,Fast Fashion,3.4,False,14,0.4,50
Boohoo,Fast Fashion,3.0,True,30,0.4,45
Frankies Bikinis,Swimwear,3.3,False,60,0.4,56
J.Crew,Dresses,4.8,True,60,0.4,19
Sezane,Dresses,3.0,False,60,0.4,61
Oakley,Eyewear,3.5,False,30,0.4,53
Persol,Eyewear,4.0,True,30,0.4,35
Staud,Dresses,2.9,True,365,0.4,52
Boden,Dresses,3.4,True,365,0.4,39
Realisation Par,Dresses,3.4,False,365,0.4,50
Rouje,Dresses,4.3,True,30,0.4,25
Goodr,Eyewear,3.1,False,14,0.4,59
Zenni,Eyewear,2.7,False,365,0.4,60
Gucci,Eyewear,3.8,True,30,0.4,33
Vuori,Activewear,4.5,True,60,0.4,29
Solid & Striped,Swimwear,4.1,False,60,0.4,44
Arena,Swimwear,2.5,True,30,0.4,53
Ganni,Dresses,3.5,True,365,0.4,43
Costa,Eyewear,4.0,True,14,0.4,35
Rhone,Activewear,3.9,True,14,0.4,32
Monday Swimwear,Swimwear,3.8,True,60,0.4,34
Jolyn,Swimwear,4.1,True,14,0.4,33
Shein,Fast Fashion,4.2,True,365,0.4,33
Mango,Fast Fashion,4.6,False,30,0.4,37
ASOS,Fast Fashion,3.1,False,30,0.4,59
Zara,Fast Fashion,4.2,False,14,0.4,43
Left On Friday,Swimwear,2.6,False,14,0.4,61
LoveShackFancy,Dresses,3.3,True,365,0.4,47
Lilly Pulitzer,Dresses,4.6,False,14,0.4,36
Outdoor Voices,Activewear,3.8,False,365,0.4,44
Quay,Eyewear,2.6,False,60,0.4,67
Doen,Dresses,3.5,True,365,0.4,38
Oliver Peoples,Eyewear,4.1,False,14,0.4,39
Roxy,Swimwear,2.9,False,60,0.4,58
Vineyard Vines,Dresses,4.6,True,30,0.4,26
Anthropologie,Fast Fashion,4.4,True,60,0.4,30
H&M,Fast Fashion,3.2,False,14,0.4,57
Tyr,Swimwear,2.8,True,60,0.4,53
Diff Eyewear,Eyewear,2.8,True,60,0.4,48
EyeBuyDirect,Eyewear,3.6,True,60,0.4,37
Sunglass Hut,Eyewear,4.7,False,365,0.4,35
Warby Parker,Eyewear,3.1,True,365,0.4,45
Ulla Johnson,Dresses,3.4,True,30,0.4,39
Sweaty Betty,Activewear,4.0,True,365,0.4,30
Ten Thousand,Activewear,4.8,True,60,0.4,19
Fashion Nova,Fast Fashion,3.8,True,30,0.4,33
Stradivarius,Fast Fashion,3.9,False,14,0.4,47
LensCrafters,Eyewear,2.6,True,30,0.4,56
Reformation,Dresses,2.7,True,365,0.4,55
Beyond Yoga,Activewear,4.6,True,30,0.4,26
Free People,Fast Fashion,4.4,False,14,0.4,40
Knockaround,Eyewear,3.8,True,60,0.4,39
Girlfriend Collective,Activewear,2.8,False,30,0.4,63
Public Rec,Activewear,2.5,True,60,0.4,57
Tracksmith,Activewear,4.4,False,365,0.4,40
Forever 21,Fast Fashion,4.6,False,14,0.4,37
Missguided,Fast Fashion,3.7,False,365,0.4,50
Set Active,Activewear,2.7,False,30,0.4,65
Summersalt,Swimwear,4.4,True,14,0.4,29
Andie Swim,Swimwear,3.0,True,365,0.4,51
Felix Gray,Eyewear,3.5,False,60,0.4,52
Quiksilver,Swimwear,2.5,True,60,0.4,57
GlassesUSA,Eyewear,2.9,False,60,0.4,62
Zimmermann,Dresses,3.1,True,14,0.4,48
Hill House,Dresses,4.1,False,60,0.4,43
Tuckernuck,Dresses,2.5,True,30,0.4,58
